path,split,variant,model
random/als-implicit-default,random,default,als-implicit
random/als-implicit-optuna-tuned,random,optuna-tuned,als-implicit
random/flexmf-bpr-default,random,default,flexmf-bpr
random/flexmf-bpr-optuna-tuned,random,optuna-tuned,flexmf-bpr
random/flexmf-logistic-default,random,default,flexmf-logistic
random/flexmf-logistic-optuna-tuned,random,optuna-tuned,flexmf-logistic
random/iknn-implicit-default,random,default,iknn-implicit
random/iknn-implicit-optuna-tuned,random,optuna-tuned,iknn-implicit
random/popular-default,random,default,popular
random/slim-default,random,default,slim
random/slim-optuna-tuned,random,optuna-tuned,slim
random/slim-fs-default,random,default,slim-fs
random/slim-fs-optuna-tuned,random,optuna-tuned,slim-fs
